filter completed in 16.119680404663086 s
filter completed in 16.72810435295105 s
IMAGE COMPLETED: 1 of 2
filter completed in 35.63704514503479 s
filter completed in 36.4747998714447 s
IMAGE COMPLETED: 2 of 2
         56298822 function calls (56230494 primitive calls) in 117.719 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12545    0.011    0.000    0.011    0.000 {built-in method builtins.bin}
     1607    0.011    0.000    0.094    0.000 uuid.py:759(uuid4)
      830    0.011    0.000    0.062    0.000 decorator.py:93(__init__)
    15114    0.010    0.000    0.010    0.000 {method 'endswith' of 'str' objects}
     4851    0.010    0.000    0.188    0.000 quantumcircuit.py:424(qubits)
    11490    0.010    0.000    0.010    0.000 {method 'split' of 'str' objects}
4377/4079    0.010    0.000    0.141    0.000 typing.py:248(inner)
    12793    0.010    0.000    0.010    0.000 {method 'replace' of 'str' objects}
    10825    0.010    0.000    0.011    0.000 {built-in method from_bytes}
    15752    0.010    0.000    0.010    0.000 {method 'get' of 'mappingproxy' objects}
     3279    0.010    0.000    0.140    0.000 quantumcircuit.py:498(qbit_argument_conversion)
     3503    0.010    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
    10695    0.010    0.000    0.015    0.000 mathtext.py:2839(<genexpr>)
     1637    0.010    0.000    0.036    0.000 fromnumeric.py:73(_wrapreduction)
1699/1587    0.010    0.000    0.017    0.000 copy.py:132(deepcopy)
     3401    0.010    0.000    0.016    0.000 <frozen importlib._bootstrap>:176(cb)
     1824    0.010    0.000    0.020    0.000 os.py:674(__getitem__)
    10976    0.010    0.000    0.010    0.000 runningpassmanager.py:217(__iter__)
    13802    0.010    0.000    0.010    0.000 {method 'items' of 'dict' objects}
     7842    0.010    0.000    0.033    0.000 series.py:414(dtype)
     7840    0.010    0.000    0.010    0.000 basepasses.py:66(name)
      784    0.010    0.000    0.031    0.000 quantum_pipe.py:113(encoding_function)
     1152    0.010    0.000    0.029    0.000 version.py:131(_legacy_cmpkey)
     3136    0.010    0.000    0.014    0.000 fencedobjs.py:65(__init__)
      784    0.010    0.000    0.044    0.000 transpile.py:228(_check_circuits_coupling_map)
     1568    0.010    0.000    3.133    0.002 optimize_1q_gates.py:47(run)
     4146    0.009    0.000    0.009    0.000 {method 'search' of 're.Pattern' objects}
 1368/442    0.009    0.000    0.223    0.001 sre_parse.py:411(_parse_sub)
     1586    0.009    0.000    0.010    0.000 {built-in method builtins.sum}
      785    0.009    0.000   11.462    0.015 threading.py:264(wait)
     3278    0.009    0.000    0.070    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
     1607    0.009    0.000    0.009    0.000 uuid.py:266(__str__)
      784    0.009    0.000    0.099    0.000 aerbackend.py:86(run)
     8465    0.009    0.000    0.013    0.000 logic.py:225(__new__)
     5056    0.009    0.000    0.015    0.000 version.py:114(_parse_version_parts)
     3929    0.009    0.000    0.020    0.000 generic.py:5276(__setattr__)
7916/7849    0.009    0.000    0.013    0.000 logic.py:236(__eq__)
     1568    0.009    0.000    0.045    0.000 fromnumeric.py:2092(sum)
     4704    0.009    0.000    0.013    0.000 result.py:278(<genexpr>)
     4704    0.009    0.000    0.009    0.000 schema.py:1053(_has_processors)
     6026    0.009    0.000    0.150    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
     2964    0.009    0.000    0.025    0.000 conflict.py:12(consistent)
     5432    0.009    0.000    0.014    0.000 version.py:65(_compare)
     7788    0.008    0.000    0.012    0.000 sre_parse.py:160(__len__)
     1570    0.008    0.000    0.095    0.000 managers.py:1467(__init__)
     6343    0.008    0.000    0.078    0.000 <frozen importlib._bootstrap>:403(cached)
       38    0.008    0.000    0.044    0.001 conflict.py:27(<listcomp>)
     2352    0.008    0.000    0.014    0.000 passmanager.py:162(_normalize_passes)
    10051    0.008    0.000    0.011    0.000 sre_parse.py:249(match)
     1590    0.008    0.000    0.008    0.000 {built-in method numpy.zeros}
    13595    0.008    0.000    0.008    0.000 {method 'group' of 're.Match' objects}
     3401    0.008    0.000    0.012    0.000 <frozen importlib._bootstrap>:58(__init__)
     3455    0.008    0.000    0.055    0.000 <frozen importlib._bootstrap>:147(__enter__)
     1568    0.008    0.000    0.252    0.000 dagcircuit.py:602(depth)
     6996    0.008    0.000    0.012    0.000 posixpath.py:41(_get_sep)
5162/3821    0.008    0.000    0.014    0.000 typing.py:664(__hash__)
    13102    0.008    0.000    0.008    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
       71    0.008    0.000    0.024    0.000 enum.py:135(__new__)
     2352    0.008    0.000    0.024    0.000 passmanager.py:68(append)
     3065    0.008    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
     1674    0.007    0.000    0.027    0.000 _dtype.py:333(_name_get)
